#,Kana,Kanji,Type,Definition/s
568,おしえる,教える,v1,"to teach, to inform, to instruct"
569,おじぎ,御辞儀,"n,vs",bow
570,おじさん,伯父さん,n,"middle-aged gentleman, uncle"
571,おじさん,小父さん,n,"middle-aged gentleman, uncle"
572,おじさん,叔父さん,n,"middle-aged gentleman, uncle"
573,おしゃれ,,"adj-na,adj-no,n","smartly dressed, someone smartly dressed, fashion-conscious"
574,おしゃべり,,"adj-na,adj-no,n,vs","chattering, talk, idle talk"
575,おじゃまします,,exp,Excuse me for disturbing you
576,おじょうさん,お嬢さん,n,"(1) (hon) daughter, (2) young lady"
577,おす,押す,"v5s,vt","to push, to press, to stamp (i.e. a passport)"
578,おせわになりました,,,I've been in your care
579,おせん,汚染,n,"pollution, contamination"
580,おそい,遅い,adj,"late, slow"
581,おそらく,,adv,perhaps
582,おそれる,恐れる,v1,"to fear, to be afraid of"
583,おそろしい,恐ろしい,adj,"terrible, dreadful"
584,おそわる,教わる,v5r,to be taught
585,おだいじに,,exp,Take care of yourself
586,おたがい,お互い,n,"mutual, reciprocal, each other"
587,おだやか,穏やか,"adj-na,n","calm, gentle, quiet"
588,おちつく,落着く,v5k,"to calm down, to settle down"
589,おちる,落る,,
590,おっしゃる,,v5aru,"(hon) to say, to speak, to tell, to talk"
591,おっと,夫,n,(hum) (my) husband
592,おてあらい,御手洗,n,font of purifying water placed at entrance of shrine
593,おでかけ,お出掛け,,
594,おてつだいさん,お手伝いさん,n,maid
595,おと,音,"n,n-suf","sound, note"
596,おとうさん,お父さん,n,(hon) father
597,おとうと,弟,n,"younger brother, faithful service to those older, brotherly affection"
598,おどかす,,v5s,"to threaten, to coerce"
599,おとこ,男,n,man
600,おとこのこ,男の子,n,boy
601,おとこのひと,男の人,,man
602,おとしもの,落し物,n,lost property
603,おとす,落す,io,"(v5s) to drop, to lose, to let fall"
604,おととい,,"n-adv,n-t",day before yesterday
605,おととし,,"n-adv,n-t",year before last
606,おとな,大人,n,adult
607,おとなしい,,adj,"obedient, docile, quiet"
608,おどり,踊り,n,dance
609,おとる,劣る,v5r,"to fall behind, to be inferior to"
610,おどる,踊る,v5r,to dance
611,おどろかす,驚かす,v5s,"to surprise, to frighten, to create a stir"
612,おどろく,驚く,v5k,"to be surprised, to be astonished"
613,おなか,お腹,n,stomach
614,おなじ,同じ,"adj-na,n","same, identical, equal, similar"
615,おに,鬼,n,"ogre, demon, ""it"" (i.e., in a game of tag)"
616,おにいさん,お兄さん,n,"(hon) older brother, (vocative) ""Mister?"""
617,おねえさん,お姉さん,n,"(hon) older sister, (vocative) ""Miss?"""
618,おねがいします,,hon,please
619,おのおの,各々,,"each, every, either, respectively, severally"
620,おば,伯母,n,(hum) aunt (older than one's parent)
621,おば,叔母,n,aunt (younger than one's parent)
622,おばあさん,,n,"grandmother, female senior-citizen"
623,おばさん,伯母さん,n,(hon) aunt
624,おばさん,叔母さん,n,"(1) aunt, (2) middle-aged lady"
625,おばさん,小母さん,n,"lady, woman, ma'am"
626,おはよう,,"int,n",(abbr) Good morning
627,おび,帯,n-suf,"band (e.g. conduction, valence)"
628,おひる,お昼,"n-adv,n","lunch, noon"
629,オフィス,,n,office
630,おぼえる,覚える,v1,"to remember, to memorize"
631,おぼれる,溺れる,v1,"to be drowned, to indulge in"
632,おまいり,お参り,"n,vs","worship, shrine visit"
633,おまえ,,n,"(fam) you (sing), presence (of a high personage)"
634,おまたせしました,,,Sorry to have kept you waiting
635,おまちください,,,Please wait a moment
636,おまちどおさま,,"exp,int,n",Sorry to have kept you waiting
637,おまわりさん,,n,policeman (friendly term)
638,おめでたい,,n,"happy event, matter for congratulation, auspicious event, pregnancy"
639,おめでとう,,int,"Congratulations!, an auspicious occasion!"
640,おめにかかる,お目に掛かる,,
641,おもい,重い,adj,"(1) heavy, massive, (2) serious, important"
642,おもいがけない,思い掛けない,adj,"unexpected, casual"
643,おもいきり,思い切り,"adv,n","with all one's strength (heart), resignation, resolution"
644,おもいこむ,思い込む,v5m,"to be under impression that, to be convinced that"
645,おもいだす,思い出す,v5s,"to recall, to remember"
646,おもいっきり,思いっ切り,,
647,おもいつく,思い付く,v5k,"to think of, to hit upon"
648,おもいで,思い出,n,"memories, recollections, reminiscence"
649,おもう,思う,v5u,"to think, to feel"
650,おもしろい,,adj,"interesting, amusing"
651,おもたい,重たい,adj,"heavy, massive, serious"
652,おもちゃ,,n,toy
653,おもて,表,"n,n-suf","table (e.g. Tab 1), chart, list"
654,おもに,主に,adv,"mainly, primarily"
655,おもわず,思わず,adv,"unintentional, spontaneous"
656,おや,,n,parents
657,おや,親,n,parents
658,おやすみ,,n,"(1) holiday, absence, rest, (2) (exp) Good night"
659,おやつ,,n,"(1) between meal snack, afternoon refreshment"
660,おやゆび,親指,n,thumb
661,およぎ,泳ぎ,n,swimming
662,およぐ,泳ぐ,v5g,to swim
663,およそ,,"adv,n","about, roughly, as a rule, approximately"
664,およぼす,及ぼす,v5s,"to exert, to cause, to exercise"
665,おりる,下りる,v1,"to alight (e.g. from bus), to get off"
666,おりる,降りる,v1,"to alight (e.g. from bus), to get off"
667,おる,居る,v5r,"to be (animate), to be, to exist"
668,おる,折る,v5r,"to break, to fold, to pick flower"
669,オルガン,,n,organ
670,おれる,折れる,"v1,vi,vt","to break, to be folded, to give in"
671,おろす,下す,v5s,"to lower, to let go down"
672,おろす,降ろす,v5s,"to take down, to launch, to drop"
673,おろす,卸す,v5s,"to sell wholesale, grated (vegetables)"
674,おわり,終,n,the end
675,おわる,終る,io,"(v5r) to finish, to close"
676,~おわる,~終る,,
677,おん,音,"n,n-suf","sound, note"
678,おん,恩,n,"favour, obligation, debt of gratitude"
679,おんがく,音楽,n,"music, musical movement"
680,おんけい,恩恵,n,"grace, favor, blessing, benefit"
681,おんしつ,温室,n,greenhouse
682,おんせん,温泉,n,"spa, hot spring, onsen"
683,おんたい,温帯,n,temperate zone
684,おんだん,温暖,"adj-na,n",warmth
685,おんちゅう,御中,n,"and Company, Messrs."
686,おんど,温度,n,temperature
687,おんな,女,n,"woman, girl, daughter"
688,おんなのこ,女の子,n,girl
689,おんなのひと,女の人,,woman
690,か,可,"n,n-suf",passable
691,か,蚊,n,mosquito
692,か,課,"n,n-suf",counter for chapters (of a book)
693,~か,~日,,
694,~か,~下,,
695,~か,~化,,
696,~か,~科,,
697,~か,~家,,
698,~か,~歌,,
699,が~,画~,,
700,~が,~画,,
701,カー,,n,car
702,カーテン,,n,"curtain, carton"
703,カード,,n,"card, curd"
704,カーブ,,n,"(1) curve, (2) curve ball (baseball)"
705,かい,会,"n,n-suf,vs","meeting, assembly, party, association, club"
706,かい,回,n,counter for occurrences
707,かい,貝,n,"shell, shellfish"
708,~かい,~階,,
709,がい,害,"n,vs","injury, harm, evil influence, damage"
710,がい~,外~,,
711,~がい,~外,,
712,かいいん,会員,n,"member, the membership"
713,かいが,絵画,n,picture
714,かいかい,開会,n,opening of a meeting
715,かいがい,海外,n,"foreign, abroad, overseas"
716,かいかん,会館,n,"meeting hall, assembly hall"
717,かいがん,海岸,n,"coast, beach"
718,かいぎ,会議,n,"meeting, conference"
719,かいけい,会計,n,"account, finance, accountant"
720,かいけつ,解決,"n,vs","settlement, solution, resolution"
721,かいごう,会合,n,"meeting, assembly"
722,がいこう,外交,n,diplomacy
723,がいこく,外国,n,foreign country
724,かいさつ,改札,"n,vs",examination of tickets
725,かいさん,解散,"n,vs","breakup, dissolution"
726,かいし,開始,"n,vs","start, commencement, beginning"
727,かいしゃ,会社,n,"company, corporation"
728,かいしゃく,解釈,"n,vs","explanation, interpretation"
729,がいしゅつ,外出,"n,vs","outing, going out"
730,かいじょう,会場,n,"assembly hall, meeting place, the grounds"
731,かいすいよく,海水浴,n,"sea bathing, seawater bath"
732,かいすう,回数,n,"number of times, frequency"
733,かいすうけん,回数券,n,book of tickets
734,かいせい,改正,"n,vs","revision, amendment, alteration"
735,かいせい,快晴,n,good weather
736,かいせつ,解説,"n,vs","explanation, commentary"
737,かいぜん,改善,"n,vs","betterment, improvement"
738,かいぞう,改造,"n,vs","(1) remodeling, (2) modding (comp)"
739,かいだん,階段,n,stairs
740,かいつう,開通,"n,vs","opening, open"
741,かいてき,快適,"adj-na,n","pleasant, agreeable, comfortable"
742,かいてん,回転,"n,vs","rotation, revolution, turning"
743,かいとう,解答,"n,vs","answer, solution"
744,かいとう,回答,n,"reply, answer"
745,がいぶ,外部,n,"the outside, external"
746,かいふく,回復,"n,vs","recovery (from illness), improvement, rehabilitation, restoration"
747,かいほう,解放,"n,vs","release, liberation, emancipation"
748,かいほう,開放,"n,vs","open, throw open, liberalization"
749,かいもの,買い物,n,shopping
750,かいよう,海洋,n,ocean
751,がいろん,概論,n,"intro, outline, general remarks"
752,かいわ,会話,n,conversation
753,かう,買う,v5u,to buy
754,かう,飼う,v5u,"to keep, to raise, to feed"
755,かえす,返す,"v5s,vt",to return something
756,かえす,帰す,v5s,to send back
757,かえって,却って,adv,"on the contrary, rather, all the more, instead"
758,かえり,帰り,n,"return, coming back"
759,かえる,代える,v1,"to exchange, to interchange, to substitute, to replace"
760,かえる,替える,v1,"to exchange, to interchange, to substitute, to replace"
761,かえる,換える,v1,"to exchange, to interchange, to substitute, to replace"
762,かえる,変える,"v1,vt","to change, to alter, to vary"
763,かえる,反る,v5r,"to warp, to be warped, to curve"
764,かえる,帰る,v5r,"to go back, to go home, to come home, to return"
765,かお,顔,n,face (person)
766,かおく,家屋,n,"house, building"
767,かおり,香り,n,"aroma, fragrance, scent, smell"
768,がか,画家,n,"painter, artist"
769,かかえる,抱える,v1,to hold or carry under or in the arms
770,かかく,価格,n,"price, value, cost"
771,かがく,科学,n,science
772,かがく,化学,n,chemistry
773,かがみ,鏡,n,mirror
774,かがやく,輝く,v5k,"to shine, to glitter, to sparkle"
775,かかり,係,n,"official, duty, person in charge"
776,かかる,掛かる,"v5r,vi","to take (e.g. time, money, etc), to hang"
777,かかる,罹る,v5r,to suffer from
778,かかわる,係わる,v5r,"to concern oneself in, to have to do with, to affect, to influence, to stick to (opinions)"
779,かぎ,鍵,n,key
780,かきとめ,書留,"n,vs","writing down, putting on record, recording, making a note of, registration (of mail)"
781,かきとり,書取,n,dictation
782,かきね,垣根,n,hedge
783,かぎり,限り,"n-adv,n","limit(s), as far as possible, as much as possible, to the best of one's ability"
784,かぎる,限る,v5r,"to restrict, to limit, to confine"
785,かく,書く,v5k,to write
786,かく,掻く,v5k,"to scratch, to perspire"
787,かく,描く,v5k,"to draw, to paint, to sketch, to depict, to describe"
788,かく~,各~,,
789,かぐ,嗅ぐ,"v5g,vt","to sniff, to smell"
790,かぐ,家具,n,furniture
791,がく,学,n,"learning, scholarship, erudition, knowledge"
792,がく,額,n,picture (framed)
793,かくう,架空,"adj-na,adj-no,n","aerial, overhead, fiction"
794,かくご,覚悟,"n,vs","resolution, resignation, readiness"
795,かくじ,各自,"n-adv,n-t","individual, each"
796,かくじつ,確実,"adj-na,n","certainty, reliability, soundness"
797,がくしゃ,学者,n,scholar
798,かくじゅう,拡充,n,expansion
799,がくしゅう,学習,"n,vs","study, learning"
800,がくじゅつ,学術,n,"science, learning, scholarship"
801,かくす,隠す,"v5s,vt","to hide, to conceal"
802,がくせい,学生,n,student
803,かくだい,拡大,"n,vs","magnification, enlargement"
804,かくち,各地,n,"every place, various places"
805,かくちょう,拡張,"n,vs","expansion, extension, enlargement, escape (ESC)"
806,かくど,角度,n,angle
807,かくにん,確認,"n,vs","affirmation, confirmation"
808,がくねん,学年,n,"year in school, grade in school"
809,がくぶ,学部,n,"department of a university, undergraduate"
810,かくべつ,格別,"adj-na,adv,n",exceptional
811,がくもん,学問,n,"scholarship, study, learning"
812,かくりつ,確率,n,probability
813,がくりょく,学力,n,"scholarship, knowledge, literary ability"
814,かくれる,隠れる,"v1,vi","to hide, to be hidden, to conceal oneself, to disappear"
815,かげ,影,n,"shade, shadow, other side"
816,かげ,陰,n,"shade, shadow, other side"
817,かけざん,掛け算,n,multiplication
818,かけつ,可決,"n,vs","approval, adoption (e.g. motion, bill), passage"
819,~かげつ,~ヶ月,,for ~ months
820,かける,掛ける,"aux-v,v1","(1) to wear, to put on, (2) to sit down, (3) to make a phone call"
821,かける,欠ける,v1,to be lacking
822,かげん,加減,n,"addition and subtraction, allowance for"
823,かこ,過去,"n-adv,n","the past, bygone days, the previous"
824,かご,籠,n,"basket, cage"
825,かこう,火口,n,"a burner, origin of a fire"
826,かこう,下降,n,"downward, descent, fall, drop, subsidence"
827,かこむ,囲む,v5m,"to surround, to encircle"
828,かさ,傘,n,"umbrella, parasol"
829,かさい,火災,n,"conflagration, fire"
830,かさなる,重なる,v5r,"to be piled up, lie on top of one another, overlap each other"
831,かさねる,重ねる,v1,"to pile up, to put something on another, to heap up, to add, to repeat"
832,かざり,飾り,"n,n-suf",decoration
833,かざる,飾る,v5r,"to decorate, to ornament, to adorn"
834,かざん,火山,n,volcano
835,かし,貸し,n,"loan, lending"
836,かし,菓子,n,pastry
837,かじ,火事,n,"fire, conflagration"
838,かじ,家事,n,"housework, domestic chores"
839,かしこい,賢い,adj,"wise, clever, smart"
840,かしこまりました,,exp,certainly!
841,かしだし,貸し出し,"n,vs","lending, loaning"
842,かしつ,過失,n,"error, blunder, accident"
843,かじつ,果実,n,"fruit, nut, berry."
844,かしま,貸間,n,room to let
845,かしや,貸家,n,house for rent
846,かしゅ,歌手,n,singer
847,かしょ,個所,n,"passage, place, point, part"
848,かじょう,過剰,"adj-na,n","excess, over-"
849,かじる,,v5r,"to chew, to bite (at), to gnaw, to nibble"
850,かす,貸す,v5s,to lend
851,かず,数,"n,n-suf","number, figure"
852,ガス,,n,gas
